"Title","UK resident population: mid-year estimates (Qtly data interpolated)"
"CDID","EBAQ"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",",000"
"Release date","28-03-2025"
"Next release","30 June 2025"
"Important notes",
"1955","50946"
"1956","51184"
"1957","51430"
"1958","51653"
"1959","51956"
"1960","52373"
"1961","52807"
"1962","53292"
"1963","53625"
"1964","53991"
"1965","54350"
"1966","54643"
"1967","54959"
"1968","55214"
"1969","55461"
"1970","55632"
"1971","55928"
"1972","56097"
"1973","56223"
"1974","56236"
"1975","56226"
"1976","56216"
"1977","56190"
"1978","56178"
"1979","56240"
"1980","56330"
"1981","56358"
"1982","56291"
"1983","56316"
"1984","56409"
"1985","56554"
"1986","56684"
"1987","56804"
"1988","56916"
"1989","57077"
"1990","57238"
"1991","57439"
"1992","57585"
"1993","57714"
"1994","57862"
"1995","58025"
"1996","58164"
"1997","58314"
"1998","58475"
"1999","58684"
"2000","58886"
"2001","59113"
"2002","59366"
"2003","59637"
"2004","59950"
"2005","60413"
"2006","60827"
"2007","61319"
"2008","61824"
"2009","62261"
"2010","62760"
"2011","63285"
"2012","63711"
"2013","64139"
"2014","64620"
"2015","65088"
"2016","65607"
"2017","65966"
"2018","66289"
"2019","66631"
"2020","66744"
"2021","66984"
"2022","67604"
"2023","68492"
"2024","69226"
"1955 Q1","50901"
"1955 Q2","50946"
"1955 Q3","51005"
"1955 Q4","51065"
"1956 Q1","51124"
"1956 Q2","51184"
"1956 Q3","51245"
"1956 Q4","51307"
"1957 Q1","51369"
"1957 Q2","51430"
"1957 Q3","51486"
"1957 Q4","51541"
"1958 Q1","51597"
"1958 Q2","51653"
"1958 Q3","51728"
"1958 Q4","51804"
"1959 Q1","51880"
"1959 Q2","51956"
"1959 Q3","52060"
"1959 Q4","52164"
"1960 Q1","52268"
"1960 Q2","52373"
"1960 Q3","52481"
"1960 Q4","52590"
"1961 Q1","52699"
"1961 Q2","52807"
"1961 Q3","52929"
"1961 Q4","53050"
"1962 Q1","53171"
"1962 Q2","53292"
"1962 Q3","53375"
"1962 Q4","53458"
"1963 Q1","53542"
"1963 Q2","53625"
"1963 Q3","53716"
"1963 Q4","53808"
"1964 Q1","53899"
"1964 Q2","53991"
"1964 Q3","54080"
"1964 Q4","54170"
"1965 Q1","54260"
"1965 Q2","54350"
"1965 Q3","54423"
"1965 Q4","54496"
"1966 Q1","54569"
"1966 Q2","54643"
"1966 Q3","54722"
"1966 Q4","54801"
"1967 Q1","54880"
"1967 Q2","54959"
"1967 Q3","55023"
"1967 Q4","55086"
"1968 Q1","55150"
"1968 Q2","55214"
"1968 Q3","55275"
"1968 Q4","55337"
"1969 Q1","55399"
"1969 Q2","55461"
"1969 Q3","55504"
"1969 Q4","55546"
"1970 Q1","55589"
"1970 Q2","55632"
"1970 Q3","55706"
"1970 Q4","55780"
"1971 Q1","55854"
"1971 Q2","55928"
"1971 Q3","55970"
"1971 Q4","56012"
"1972 Q1","56055"
"1972 Q2","56097"
"1972 Q3","56128"
"1972 Q4","56160"
"1973 Q1","56191"
"1973 Q2","56223"
"1973 Q3","56226"
"1973 Q4","56229"
"1974 Q1","56232"
"1974 Q2","56236"
"1974 Q3","56233"
"1974 Q4","56231"
"1975 Q1","56228"
"1975 Q2","56226"
"1975 Q3","56223"
"1975 Q4","56221"
"1976 Q1","56219"
"1976 Q2","56216"
"1976 Q3","56210"
"1976 Q4","56203"
"1977 Q1","56196"
"1977 Q2","56190"
"1977 Q3","56187"
"1977 Q4","56184"
"1978 Q1","56181"
"1978 Q2","56178"
"1978 Q3","56194"
"1978 Q4","56209"
"1979 Q1","56225"
"1979 Q2","56240"
"1979 Q3","56263"
"1979 Q4","56285"
"1980 Q1","56307"
"1980 Q2","56330"
