"Title","Gross domestic product at market prices:Implied deflator:SA"
"CDID","YBGB"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","Index, last full year = 100
"
"Release date","15-05-2025"
"Next release","30 June 2025"
"Important notes",
"1948","2.7"
"1949","2.8"
"1950","2.8"
"1951","3.1"
"1952","3.3"
"1953","3.3"
"1954","3.4"
"1955","3.5"
"1956","3.8"
"1957","3.9"
"1958","4.1"
"1959","4.1"
"1960","4.1"
"1961","4.3"
"1962","4.4"
"1963","4.5"
"1964","4.7"
"1965","4.9"
"1966","5.2"
"1967","5.4"
"1968","5.6"
"1969","6.0"
"1970","6.5"
"1971","7.1"
"1972","7.6"
"1973","8.3"
"1974","9.6"
"1975","12.1"
"1976","14.0"
"1977","16.0"
"1978","17.8"
"1979","20.4"
"1980","24.5"
"1981","27.6"
"1982","29.8"
"1983","31.4"
"1984","33.1"
"1985","34.9"
"1986","36.4"
"1987","38.4"
"1988","40.8"
"1989","44.1"
"1990","47.8"
"1991","51.0"
"1992","52.7"
"1993","54.3"
"1994","55.3"
"1995","56.7"
"1996","59.1"
"1997","59.0"
"1998","59.8"
"1999","60.6"
"2000","61.3"
"2001","62.2"
"2002","63.5"
"2003","65.0"
"2004","66.7"
"2005","68.7"
"2006","70.6"
"2007","72.2"
"2008","74.7"
"2009","76.1"
"2010","77.3"
"2011","79.0"
"2012","80.2"
"2013","81.9"
"2014","83.0"
"2015","83.5"
"2016","85.2"
"2017","86.7"
"2018","88.4"
"2019","90.3"
"2020","94.8"
"2021","94.8"
"2022","100.0"
"2023","106.9"
"2024","111.2"
"1955 Q1","3.5"
"1955 Q2","3.5"
"1955 Q3","3.5"
"1955 Q4","3.6"
"1956 Q1","3.7"
"1956 Q2","3.7"
"1956 Q3","3.8"
"1956 Q4","3.9"
"1957 Q1","3.8"
"1957 Q2","3.9"
"1957 Q3","4.0"
"1957 Q4","4.0"
"1958 Q1","4.0"
"1958 Q2","4.1"
"1958 Q3","4.1"
"1958 Q4","4.1"
"1959 Q1","4.1"
"1959 Q2","4.1"
"1959 Q3","4.1"
"1959 Q4","4.1"
"1960 Q1","4.1"
"1960 Q2","4.1"
"1960 Q3","4.1"
"1960 Q4","4.2"
"1961 Q1","4.2"
"1961 Q2","4.2"
"1961 Q3","4.4"
"1961 Q4","4.3"
"1962 Q1","4.4"
"1962 Q2","4.4"
"1962 Q3","4.5"
"1962 Q4","4.5"
"1963 Q1","4.4"
"1963 Q2","4.5"
"1963 Q3","4.5"
"1963 Q4","4.6"
"1964 Q1","4.6"
"1964 Q2","4.6"
"1964 Q3","4.7"
"1964 Q4","4.8"
"1965 Q1","4.9"
"1965 Q2","4.9"
"1965 Q3","5.0"
"1965 Q4","5.0"
"1966 Q1","5.1"
"1966 Q2","5.2"
"1966 Q3","5.2"
"1966 Q4","5.3"
"1967 Q1","5.3"
"1967 Q2","5.4"
"1967 Q3","5.4"
"1967 Q4","5.4"
"1968 Q1","5.5"
"1968 Q2","5.5"
"1968 Q3","5.6"
"1968 Q4","5.7"
"1969 Q1","5.8"
"1969 Q2","5.9"
"1969 Q3","6.0"
"1969 Q4","6.1"
"1970 Q1","6.3"
"1970 Q2","6.4"
"1970 Q3","6.6"
"1970 Q4","6.8"
"1971 Q1","6.9"
"1971 Q2","7.0"
"1971 Q3","7.1"
"1971 Q4","7.3"
"1972 Q1","7.3"
"1972 Q2","7.5"
"1972 Q3","7.6"
"1972 Q4","8.0"
"1973 Q1","8.1"
"1973 Q2","8.0"
"1973 Q3","8.4"
"1973 Q4","8.7"
"1974 Q1","8.9"
"1974 Q2","9.4"
"1974 Q3","9.8"
"1974 Q4","10.4"
"1975 Q1","11.2"
"1975 Q2","11.9"
"1975 Q3","12.4"
"1975 Q4","13.0"
"1976 Q1","13.4"
"1976 Q2","13.8"
"1976 Q3","14.1"
"1976 Q4","14.7"
"1977 Q1","15.2"
"1977 Q2","15.8"
"1977 Q3","16.2"
"1977 Q4","16.6"
"1978 Q1","17.2"
"1978 Q2","17.7"
"1978 Q3","18.0"
"1978 Q4","18.5"
"1979 Q1","19.1"
"1979 Q2","19.6"
"1979 Q3","21.1"
"1979 Q4","22.0"
"1980 Q1","23.0"
"1980 Q2","24.1"
"1980 Q3","25.0"
"1980 Q4","26.1"
"1981 Q1","26.8"
"1981 Q2","27.3"
"1981 Q3","27.7"
"1981 Q4","28.5"
"1982 Q1","29.2"
"1982 Q2","29.5"
"1982 Q3","29.9"
"1982 Q4","30.5"
"1983 Q1","31.1"
"1983 Q2","31.1"
"1983 Q3","31.5"
"1983 Q4","32.0"
"1984 Q1","32.1"
"1984 Q2","33.1"
"1984 Q3","33.3"
"1984 Q4","33.8"
"1985 Q1","34.0"
"1985 Q2","34.5"
"1985 Q3","35.2"
"1985 Q4","35.7"
"1986 Q1","36.0"
"1986 Q2","36.1"
"1986 Q3","36.5"
"1986 Q4","37.0"
"1987 Q1","37.5"
"1987 Q2","38.1"
"1987 Q3","38.8"
"1987 Q4","39.2"
"1988 Q1","39.6"
"1988 Q2","40.4"
"1988 Q3","41.1"
"1988 Q4","42.0"
"1989 Q1","42.9"
"1989 Q2","43.3"
"1989 Q3","44.4"
"1989 Q4","45.6"
"1990 Q1","46.4"
"1990 Q2","47.1"
"1990 Q3","48.6"
"1990 Q4","49.1"
"1991 Q1","50.0"
"1991 Q2","50.8"
"1991 Q3","51.4"
"1991 Q4","52.0"
"1992 Q1","52.5"
"1992 Q2","52.7"
"1992 Q3","52.7"
"1992 Q4","53.0"
"1993 Q1","54.0"
"1993 Q2","53.8"
"1993 Q3","54.4"
"1993 Q4","55.0"
"1994 Q1","55.2"
"1994 Q2","55.0"
"1994 Q3","55.1"
"1994 Q4","55.9"
"1995 Q1","56.0"
"1995 Q2","56.5"
"1995 Q3","56.9"
"1995 Q4","57.6"
"1996 Q1","58.1"
"1996 Q2","59.2"
"1996 Q3","59.6"
"1996 Q4","59.4"
"1997 Q1","58.6"
"1997 Q2","58.7"
"1997 Q3","60.1"
"1997 Q4","58.7"
"1998 Q1","59.4"
"1998 Q2","59.5"
"1998 Q3","59.9"
"1998 Q4","60.3"
"1999 Q1","60.4"
"1999 Q2","60.7"
"1999 Q3","60.4"
"1999 Q4","60.9"
"2000 Q1","61.3"
"2000 Q2","61.2"
"2000 Q3","61.3"
"2000 Q4","61.4"
"2001 Q1","61.8"
"2001 Q2","62.4"
"2001 Q3","62.4"
"2001 Q4","62.2"
"2002 Q1","62.9"
"2002 Q2","63.3"
"2002 Q3","63.6"
"2002 Q4","64.2"
"2003 Q1","64.4"
"2003 Q2","65.0"
"2003 Q3","65.3"
"2003 Q4","65.4"
"2004 Q1","65.6"
"2004 Q2","66.6"
"2004 Q3","66.8"
"2004 Q4","67.8"
"2005 Q1","67.9"
"2005 Q2","68.7"
"2005 Q3","68.9"
"2005 Q4","69.2"
"2006 Q1","69.7"
"2006 Q2","70.5"
"2006 Q3","71.1"
"2006 Q4","71.1"
"2007 Q1","71.2"
"2007 Q2","72.4"
"2007 Q3","72.5"
"2007 Q4","72.6"
"2008 Q1","73.3"
"2008 Q2","74.2"
"2008 Q3","75.2"
"2008 Q4","76.0"
"2009 Q1","75.9"
"2009 Q2","76.1"
"2009 Q3","76.4"
"2009 Q4","75.9"
"2010 Q1","77.0"
"2010 Q2","77.1"
"2010 Q3","77.3"
"2010 Q4","77.7"
"2011 Q1","79.0"
"2011 Q2","78.5"
"2011 Q3","79.0"
"2011 Q4","79.5"
"2012 Q1","79.8"
"2012 Q2","79.9"
"2012 Q3","80.3"
"2012 Q4","80.8"
"2013 Q1","81.5"
"2013 Q2","81.6"
"2013 Q3","82.2"
"2013 Q4","82.3"
"2014 Q1","82.6"
"2014 Q2","82.5"
"2014 Q3","83.5"
"2014 Q4","83.3"
"2015 Q1","83.4"
"2015 Q2","83.2"
"2015 Q3","83.5"
"2015 Q4","83.9"
"2016 Q1","84.4"
"2016 Q2","84.6"
"2016 Q3","85.5"
"2016 Q4","86.1"
"2017 Q1","86.4"
"2017 Q2","86.5"
"2017 Q3","86.6"
"2017 Q4","87.4"
"2018 Q1","87.5"
"2018 Q2","88.1"
"2018 Q3","88.6"
"2018 Q4","89.3"
"2019 Q1","89.3"
"2019 Q2","90.2"
"2019 Q3","90.6"
"2019 Q4","91.1"
"2020 Q1","91.9"
"2020 Q2","98.8"
"2020 Q3","94.9"
"2020 Q4","94.3"
"2021 Q1","95.3"
"2021 Q2","93.9"
"2021 Q3","94.5"
"2021 Q4","95.6"
"2022 Q1","97.0"
"2022 Q2","99.1"
"2022 Q3","100.7"
"2022 Q4","103.2"
"2023 Q1","105.0"
"2023 Q2","106.8"
"2023 Q3","107.8"
"2023 Q4","108.0"
"2024 Q1","109.3"
"2024 Q2","110.1"
"2024 Q3","112.1"
"2024 Q4","113.2"
"2025 Q1","114.2"
